Champion,Std
Aatrox,0.123465508
Ahri,0.183718543
Akali,0.243486579
Akshan,0.156817846
Alistar,0.170233933
Amumu,0.070710678
Aphelios,0.183976002
Ashe,0.197948664
Azir,0.235075747
Bard,0.156817846
Bel'Veth,0.141421356
Blitzcrank,0.141421356
Braum,0.206368284
Caitlyn,0.186878221
Camille,0.218762755
Cassiopeia,0.141421356
Corki,0.312988847
Darius,0.141421356
Diana,0.220287382
Draven,0.177209409
Ezreal,0.202058567
Fiora,0
Galio,0.197948664
Gangplank,0.233894058
Gnar,0.210332636
Gragas,0.104437268
Graves,0.270935583
Gwen,0.256287301
Hecarim,0.280513176
Irelia,0.225600735
Janna,0.070710678
Jarvan IV,0.190891214
Jax,0.141421356
Jayce,0.226347734
Jhin,0.184857609
Jinx,0.21537162
Kai'Sa,0.141421356
Kalista,0.25696643
Karma,0.213894882
Karthus,0.141421356
Kassadin,0
Kayle,0.156817846
Kennen,0.047140452
Kled,0.141421356
Kog'Maw,0.141421356
LeBlanc,0.226468751
Lee Sin,0.193049948
Leona,0.207070517
Lillia,0
Lissandra,0.247340503
Lucian,0.166894214
Lulu,0.253105109
Lux,0.156817846
Malphite,0.141421356
Malzahar,0
Miss Fortune,0.141421356
Mordekaiser,0
Morgana,0.070710678
Nami,0.139917956
Nautilus,0.144725681
Nidalee,0
Nilah,0.047140452
Nocturne,0.141421356
Olaf,0.197948664
Orianna,0.194149618
Ornn,0.23595647
Pantheon,0.141421356
Poppy,0.272915472
Pyke,0.151909986
Qiyana,0
Rakan,0.227423706
Rell,0.141421356
Renata Glasc,0.321676929
Renekton,0.244137614
Rumble,0.070710678
Ryze,0.282602098
Samira,0.197948664
Sejuani,0.199659574
Senna,0.24764194
Seraphine,0.197948664
Sett,0.141421356
Shyvana,0.197948664
Sion,0.156817846
Sivir,0.280601431
Skarner,0.070710678
Sona,0
Soraka,0.197948664
Swain,0.261363076
Sylas,0.282248986
Syndra,0.15430335
Tahm Kench,0.201327792
Taliyah,0.222097665
Taric,0.070710678
Thresh,0.191066083
Tristana,0.141421356
Trundle,0.216161797
Tryndamere,0.175036439
Twisted Fate,0.268686254
Twitch,0.25916314
Varus,0.156817846
Vayne,0.141421356
Veigar,0.168358757
Vex,0.081716284
Vi,0.1209491
Viego,0.20320485
Viktor,0.299773501
Volibear,0.201273229
Wukong,0.229354588
Xayah,0.224044709
Xin Zhao,0.240612787
Yasuo,0.285714286
Yone,0.19354668
Yuumi,0.209363101
Zac,0.141421356
Zeri,0.247993539
Ziggs,0
Zilean,0.233526645
Zoe,0.098974332
Zyra,0